name,location,ratings,review,Number of   ,Room    Score,Room Type,Bed Type,price
ConilPlus Apartment LORCA,"City Center, Conil de la Frontera",6.9,Review score,24,,Three-Bedroom Apartment,"4 beds (2 twins, 2 fulls)","   210,872"
Hotel Manises,Manises,6.1,Review score,"1,443",,Budget Twin Room,2 twin beds,"   105,594"
Egona -Apartamentos Itxaropena Zarautz,Zarautz,8.7,Excellent,109,9,Apartment - Ground Floor,"3 beds (2 twins, 1 sofa bed)","   381,414"
Piso muy Grande,Moaña,8.8,Excellent,26,8.9,Apartment,"6 beds (4 twins, 2 fulls)","   219,310"
APARTAMENTOS EN EL CENTRO DE LOS CRISTIANOS,Arona,8,Very Good,27,8,One-Bedroom Apartment,2 twin beds,"   122,281"
Hostal Juan Bravo,Segovia,7.5,Good,"1,889",,Deluxe Double or Twin Room with City View,1 full bed,"   280,810"
Camping Vila de Sarria,Sarria,9,Wonderful,190,9.3,Superior Bungalow,"2 beds (1 full, 1 sofa bed)","   159,400"
Estudio en Nueva Torrequebrada,Benalmádena,7.9,Good,50,8,Superior Studio,1 full bed,"   155,101"
Ramada Residences by Wyndham Costa del Sol,Mijas Costa,8.2,Very Good,726,8.5,Superior Two bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   258,038"
Maison Lamic 1,"Lloret Town Center, Lloret de Mar",9,Wonderful,15,9,Apartment,"5 beds (1 full, 4 bunk beds)","   195,186"
Casas del Madroño,Cazalla de la Sierra,8.9,Excellent,190,8.8,Holiday Home,"3 beds (2 twins, 1 full)","   127,200"
JSM Apartamentos,Benalmádena,6.9,Review score,555,,Superior Apartment,"3 beds (2 twins, 1 sofa bed)","   253,541"
Casa Guaranatura alojamiento y barrancos,Bierge,7,Good,15,,Double Room with Shared Bathroom,1 full bed,"   170,575"
Sercotel Sevilla Guadalquivir Suites,"Old Town, Seville",8.7,Excellent,303,9.1,Superior Apartment,"2 beds (1 full, 1 sofa bed)","   513,086"
Best Club Vacaciones Pueblo Indalo,Mojácar,8,Very Good,"4,946",,Two-Bedroom Apartment (5 Adults),"5 beds (4 twins, 1 sofa bed)","   202,616"
Apartment estudi,Begur,9,Wonderful,4,9.4,One-Bedroom Apartment,1 full bed,"   128,105"
Casa de Aduanas,Vegadeo,7.6,Good,89,,Apartment - Ground Floor,"2 beds (1 full, 1 sofa bed)","   174,636"
El Mirador Del Parque,Gúa,7.2,Good,101,,Apartment,"4 beds (2 twins, 2 sofa beds)","   170,575"
Carving Surf Hostel,San Esteban de Pravia,8.7,Excellent,286,8.4,Quadruple Room with Bathroom,4 bunk beds,"   248,552"
LEÓN SUITE Urban Studios,"Leon City Centre, León",9.2,Wonderful,300,9.5,Standard Studio,   1 double or 2 twins,"   286,821"
Apartaments Lamoga - Boabi,Torredembarra,8.2,Very Good,73,8.1,Apartment with Sea View,"3 beds (2 twins, 1 full)","   184,221"
New Leaf Cortijo Apartment Full disabled access,Moclín,9.8,Exceptional,15,10,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   279,621"
Hotel Monarque Fuengirola Park,Fuengirola,7.4,Good,961,,Double Room (2 Adults + 1 Child ),3 twin beds,"   270,761"
Sabino - baskeyrentals,Lekeitio,9.7,Exceptional,3,10,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)","   198,395"
Casa Girasole,Corralejo,8.6,Excellent,10,8.8,Two-Bedroom House,"3 beds (2 twins, 1 queen)","   202,253"
NEVERENDING RIJANA. ¡Cala Rijana a tu alcance!,Calahonda,9.2,Wonderful,100,9.5,Apartment with Terrace,"4 beds (1 twin, 1 full, 1 sofa bed, 1 queen)","   214,669"
Marina,Ribadesella,7.3,Good,500,,Double or Twin Room with Harbor View,   1 double or 2 twins,"   193,666"
BUNGALOW en CAMPO INTERNACIONAL,Maspalomas,8.7,Excellent,52,9.4,One-Bedroom House,"2 beds (1 full, 1 sofa bed)","   147,947"
Estudio Edificio Salvia zona remontes,Sierra Nevada,7.5,Good,47,,One-Bedroom Apartment,"3 beds (2 bunk beds, 1 sofa bed)","   223,696"
Apartamentos Berlin,San Pedro del Pinatar,8.7,Excellent,93,8.8,Queen Studio with Sofa Bed,"2 beds (1 full, 1 sofa bed)","   134,023"
Casa Marsial,Eriste,8,Very Good,86,,Penthouse Apartment,"3 beds (2 twins, 1 sofa bed)","   235,323"
Habitaciones Sajorami Beach,Zahora,7.6,Good,129,,Special Double,1 full bed,"   278,002"
Camping La Llosa,Cambrils,8.2,Very Good,499,8,Bungalow,"4 beds (3 twins, 1 full)","   231,842"
Playa Esperanza Resort,Playa de Muro,8.3,Very Good,607,8.6,Apartment with Lateral Sea View,"4 beds (2 twins, 2 sofa beds)","   584,827"
Estudio Costa Cálida by Rental Olé,El Mojón,1,Review score,1 review,,Apartment,"3 beds (1 queen, 2 futons)","   111,535"
Kampaoh Paloma,Tarifa,8.3,Very Good,267,8.3,Buka Tent,1 full bed,"   151,133"
Apartamentos Tanajara,La Restinga,7.6,Good,73,,Apartment,2 twin beds,"   121,839"
Habitaciones Casa de Campo Daymipaz,Mahón,7.3,Good,273,,Duplex Suite,1 queen bed,"   236,716"
Albergue de Prioro,Prioro,9.2,Wonderful,188,9.3,Quadruple Room with Shared Bathroom,"4 beds (2 twins, 2 bunk beds)","   188,119"
Aparthotel Marina Drach,Porto Cristo,8.5,Very Good,319,8.8,Studio,2 twin beds,"   318,000"
S´Estancia Suites,Es Mercadal,9.4,Wonderful,153,9.7,Double or Twin Room,   1 double or 2 twins,"   329,279"
Casa Rural Cordobelas,Cedeira,9.2,Wonderful,200,9.4,Double or Twin Room with Private Bathroom,   1 double or 2 twins,"   141,333"
Cabanas de Vendaval,Malpica,9.7,Exceptional,73,9.8,Mobile Home,"4 beds (2 twins, 1 full, 1 sofa bed)","   288,932"
Casa Endorfina Rooms,Los Cristianos,7.9,Good,"1,458",8.3,Standard Double Room,   1 double or 2 twins,"   209,987"
Hotel Rural Albamanjon,Ruidera,9.1,Wonderful,193,9,Double Room with Spa Bath,1 full bed,"   375,508"
Camping Ampolla Playa,L'Ampolla,8.7,Excellent,"1,910",8.7,Bungalow FARO ( 2 p. ),"3 beds (2 twins, 1 full)","   275,008"
Kampea Playa de Gandia,Gandía,7.4,Good,97,,Tent,1 full bed,"   122,187"
Apartamentos OlaMar,Lloret de Mar,8.8,Excellent,25,9,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   146,207"
Casa Albano,Baldellou,8.7,Excellent,178,8.3,Deluxe Family Room,Multiple bed types,"   385,986"
Medplaya Hotel Vistamar Costa Dorada,Hospitalet de l'Infant,7.8,Good,847,,Double Room with Front Sea View,"2 beds (1 twin, 1 full)","   192,058"
Casa Rural Ca Xelo 2,Poliñá de Júcar,7,Good,1 review,10,Double Room,1 twin bed,"   165,701"
Aparthotel Carrio Sol - Monty´s,Calpe,8.5,Very Good,932,8.6,Studio (4 Adults),"2 beds (1 full, 1 sofa bed)","   263,465"
Apartamentos Palm Garden by LIVVO,Morro del Jable,7.5,Good,914,,Studio with Balcony with Sea View (2 Adults + 1 Child),"3 beds (2 twins, 1 sofa bed)","   158,293"
Hotel del Port,L'Ametlla de Mar,7.9,Good,381,8.1,Double or Twin Room,   1 double or 2 twins,"   184,499"
ÁTICO ESTRELLA,Tejina de Isora,9.1,Wonderful,24,8.7,Apartment,"2 beds (1 full, 1 sofa bed)","   109,655"
La Quinta II by HOMA,Isla Canela,8.3,Very Good,78,8.5,Apartment - Ground Floor,"3 beds (2 twins, 1 full)","   120,621"
Raco d'en Pepe,Calella,6.8,Review score,176,,Twin Room,2 twin beds,"   136,460"
Posada El Labrador,San Vicente de la Barquera,8.7,Excellent,499,8.7,Double or Twin Room,   1 double or 2 twins,"   134,023"
Aparthotel Marina Drach,Porto Cristo,8.5,Very Good,319,8.8,Studio,2 twin beds,"   318,000"
Hostería Casa Flor,Murias de Rechivaldo,8.7,Excellent,246,8.9,Twin Room,2 twin beds,"   131,934"
Pensión Mariola,Agres,8.7,Excellent,290,8.7,Two-Bedroom House,"6 beds (3 twins, 2 fulls, 1 sofa bed)","   351,418"
Pensión Venus,Nigrán,8.4,Very Good,542,8.7,Double or Twin Room,   1 double or 2 twins,"   119,959"
Cal Alejandro,Montsonis,7.6,Good,190,,Double Room,1 full bed,"   202,253"
Hostal la Hispanidad,"Malaga Centro, Málaga",7.3,Good,628,,Double or Twin Room,"3 beds (2 twins, 1 full)","   245,767"
Klayman Diamond Aparthotel,Acantilado de los Gigantes,9.1,Wonderful,917,9.3,One-Bedroom Apartment with Sea View,"4 beds (2 twins, 1 sofa bed, 1 queen)","   416,591"
Apartment La Gomera II,San Juan de la Rambla,7.8,Good,61,,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)","   219,310"
Alojamiento rural la Bellosina,Cabezabellosa,8.1,Very Good,49,8,Double or Twin Room,   1 double or 2 twins,"   97,471"
Hotel Pirineos,Castejón de Sos,8.6,Excellent,414,8.8,Triple Room,Multiple bed types,"   190,069"
Camino de Estrellas,Mondoñedo,8.6,Excellent,339,8.8,Quadruple Room with Balcony,"3 beds (2 twins, 1 full)","   214,437"
Hostal Algeciras,Algeciras,5.5,Review score,319,,Twin Room,2 twin beds,"   95,034"
Vivienda Turística Pirineos XXI,Canfranc-Estación,8.1,Very Good,70,,Apartment,"5 beds (4 twins, 1 sofa bed)","   175,071"
Casa Rural La Cabrera,Robledo del Buey,9,Wonderful,389,9.4,Twin Room,2 twin beds,"   133,211"
Hotel Harrison Etxea,Amorebieta-Etxano,7.1,Good,426,,Standard Twin Room,2 twin beds,"   157,230"
Hostal Soto,La Virgen del Camino,8.3,Very Good,400,8.4,Double Room,1 full bed,"   166,165"
Hotel Nou Can Guillem,Cala Figuera,8.5,Very Good,164,9.1,Deluxe Twin Room,2 twin beds,"   284,059"
Hostal Restaurante La Curva,Adra,6.4,Review score,19,,Twin Room,2 twin beds,"   146,787"
La Charra,Sanxenxo,6.1,Review score,47,,Double Room,1 full bed,"   153,169"
Hostal SolFina,Palafolls,6.3,Review score,90,,Double Room,1 full bed,"   146,207"
PR As Termas,Bubaces,8.5,Very Good,332,8.5,Double Room,   1 double or 2 twins,"   121,839"
La Fustana,Maia de Montcal,9.1,Wonderful,162,9.6,Duplex Room,2 queen beds,"   233,931"
camping yaso-guara,Yaso,7.4,Good,104,,Tent,2 twin beds,"   48,736"
Lovely double room with private bathroom and pool,Albox,7.7,Good,6,9.2,Double Room,1 full bed,"   92,598"
PORTO MAR,Bares,8.3,Very Good,206,8,Double Room,1 full bed,"   85,287"
Klayman Diamond Aparthotel,Acantilado de los Gigantes,9.1,Wonderful,917,9.3,One-Bedroom Apartment with Sea View,"4 beds (2 twins, 1 sofa bed, 1 queen)","   416,591"
El Gato Gordo - Riders Hostel,Cudillero,8.7,Excellent,165,9,Double Room with Shared Bathroom,1 full bed,"   168,138"
Cases Altes de Posada,Navés,9.1,Wonderful,98,9.1,Deluxe Suite,"5 beds (2 twins, 1 bunk bed, 1 sofa bed, 1 queen)","   558,458"
Hotel Cordial Mogán Playa,Puerto de Mogán,8.9,Excellent,"2,864",9.3,Double or Twin Room,2 twin beds,"   381,892"
Grupotel Monte Feliz,San Agustin,8,Very Good,"5,125",8.2,Two-Bedroom Apartment (2 Adults),"5 beds (4 twins, 1 sofa bed)","   195,917"
Poseidon La Manga Hotel & Spa - Designed for Adults,La Manga del Mar Menor,8.1,Very Good,"1,960",8.4,Double or Twin Room,   1 double or 2 twins,"   156,650"
Apartamentos Acuario Sol,Puerto del Carmen,8.6,Excellent,"2,984",8.7,Two-Bedroom Apartment,Multiple bed types,"   319,566"
Ramada Residences by Wyndham Costa del Sol,Mijas Costa,8.2,Very Good,726,8.5,Superior Two bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   258,038"
Moon Dreams Calabahía,Cala del Moral,8,Very Good,"2,193",8.4,Double or Twin Room,   1 double or 2 twins,"   209,917"
"Villa Le Blanc, a Gran Meliá Hotel - The Leading Hotels of The World",Santo Tomás,9.2,Wonderful,126,9.6,Deluxe Room with Terrace,   1 double or 2 twins,"   788,124"
Hotel Best Costa Ballena,Costa Ballena,8.6,Excellent,"4,875",9.1,Double Room,2 full beds,"   257,496"
Best Club Vacaciones Pueblo Indalo,Mojácar,8,Very Good,"4,946",,Two-Bedroom Apartment (5 Adults),"5 beds (4 twins, 1 sofa bed)","   202,616"
Playa Esperanza Resort,Playa de Muro,8.3,Very Good,607,8.6,Apartment with Lateral Sea View,"4 beds (2 twins, 2 sofa beds)","   584,827"
Aparthotel Golf Beach,Pals,8.2,Very Good,"1,621",8.3,Apartment with Garden View,"4 beds (2 twins, 2 sofa beds)","   209,563"
Mogan Princess & Beach Club,Taurito,7.9,Good,"3,115",8,Double Room with Ocean View,2 twin beds,"   385,526"
Puertobahia & SPA,El Puerto de Santa María,8.1,Very Good,"5,365",8.4,Double or Twin Room with Sea View,   1 double or 2 twins,"   265,145"
Sercotel Gran Hotel Zurbarán,Badajoz,8.3,Very Good,"5,480",8.7,Double Room,1 full bed,"   245,186"
Camping Bungalow Serra de Prades Resort,Vilanova de Prades,8.4,Very Good,332,8.2,Deluxe Bungalow,2 full beds,"   374,220"
Aparthotel Marina Drach,Porto Cristo,8.5,Very Good,319,8.8,Studio,2 twin beds,"   318,000"
Hotel Colonial Mar,Roquetas de Mar,7.3,Good,"3,974",,Double or Twin Room,   1 double or 2 twins,"   171,387"
Ilunion Alcora Sevilla,San Juan de Aznalfarache,8.6,Excellent,"6,804",8.8,Double Room Pet Friendly,2 twin beds,"   500,573"
Silken Ciudad de Vitoria,Vitoria-Gasteiz,8.6,Excellent,"9,628",9,   Twin Room,2 twin beds,"   234,546"
Hacienda del Conde member of Meliá Collection - Adults Only,Buenavista del Norte,9,Wonderful,736,9.5,Singular Junior Suite,2 twin beds,"   723,492"
Royal Palm Resort & Spa - Adults Only,Playa Jandia,8.4,Very Good,"1,698",9.1,Double or Twin Room with Side Sea View,   1 double or 2 twins,"   387,991"
Pierre & Vacances Resort Terrazas Costa del Sol,Manilva,7.2,Good,"1,908",,One-Bedroom Apartment,"3 beds (1 full, 2 sofa beds)","   179,696"
Apartamentos Cordial Mogán Valle,Puerto de Mogán,8.4,Very Good,"3,139",8.5,Superior One-Bedroom Apartment,2 twin beds,"   242,298"
Hospedium Hotel Mirador de Gredos,El Barco de Ávila,8,Very Good,"1,581",8.5,Deluxe Double Room,1 king bed,"   352,405"
Hotel Vila Centric,Vilaseca de Solcina,8,Very Good,"1,958",8.3,Standard Double Room 2 adults,1 full bed,"   192,041"
Hesperia Murcia Centro,Murcia,8.6,Excellent,"5,030",8.9,Standard Double or Twin Room,   1 double or 2 twins,"   223,486"
Apartamentos Acuario Sol,Puerto del Carmen,8.6,Excellent,"2,984",8.7,Two-Bedroom Apartment,Multiple bed types,"   319,566"
Tramuntana,La Jonquera,8.7,Excellent,"5,859",9,Double or Twin Room,   1 double or 2 twins,"   171,387"
Complejo Residencial Los Enebros,Arroyo Frio,8.9,Excellent,598,8.9,Two-Bedroom Bungalow (4 Adults),2 full beds,"   402,069"
Elba Motril Beach & Business Hotel,Motril,8.3,Very Good,"3,397",8.7,Standard Family Room (2 Adults + 1 Children),Multiple bed types,"   260,735"
Hotel Cap Roig by Brava Hoteles,Platja d'Aro,8.1,Very Good,"7,681",8.5,Standard Triple Room,3 twin beds,"   368,418"
Hotel Santiago,Benavente,8.4,Very Good,"1,072",8.8,Double or Twin Room,   1 double or 2 twins,"   165,701"
Alannia Costa Dorada,Platja de l’Almadrava,7.9,Good,728,,Three-Bedroom Bungalow,"5 beds (4 twins, 1 full)","   208,055"
Eden Roc Mediterranean Hotel & Spa,Sant Feliu de Guíxols,8.1,Very Good,"5,419",8.6,Superior Double or Twin Room with Sea View,2 twin beds,"   393,366"
Hotel Ripoll,Sant Hilari Sacalm,8.1,Very Good,518,8.6,Basic Double Room,   1 double or 2 twins,"   164,077"
Elba Costa Ballena Beach & Thalasso Resort,Costa Ballena,8.5,Very Good,"3,217",8.8,Family Room (2 Adults + 2 Children),Multiple bed types,"   330,558"
Puerto Antilla Grand Hotel,Islantilla,8.9,Excellent,"4,531",9.1,Twin Room (2 Adults),2 twin beds,"   244,838"
El Vicenç de la Mar - Adults Only - Over 12,Cala de Sant Vicenc,9,Wonderful,100,9.7,Superior Double Room with Shared Terrace,   1 double or 2 twins,"   851,506"
Ona Valle Romano Golf & Resort,Estepona,8.4,Very Good,"4,767",8.7,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   230,088"
Marina Elite,Patalavaca,7.3,Good,"2,118",,One-Bedroom Apartment Sea View,"3 beds (2 twins, 1 sofa bed)","   265,226"
Villa Healthy,Mogán,9,Wonderful,1 review,10,Two-Bedroom Villa,2 full beds,"   285,103"
Axel Hotel Madrid - Adults Only,"Madrid City Center, Madrid",8.5,Very Good,"3,473",8.9,Double or Twin Room,   1 double or 2 twins,"   590,992"
Santa Barbara Golf and Ocean Club,San Miguel de Abona,8.5,Very Good,"4,803",9.1,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)","   245,419"
Hotel Princesa Playa,Son Xoriguer,8.6,Excellent,"1,081",8.9,Double Room,   1 double or 2 twins,"   249,596"
Hotel Petit Sagitario (Adults only),Son Carrio,9.2,Wonderful,293,9.4,Standard Double or Twin Room with Balcony,   1 double or 2 twins,"   398,936"
Fuerteventura Princess,Playa Jandia,8.3,Very Good,"1,836",8.7,Family Room (2 Adults + 1 Child),"2 beds (1 full, 1 sofa bed)","   745,455"
Apartamentos Alday,Maliaño,8.4,Very Good,"2,241",8.5,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   219,310"
Ona Valle Romano Golf & Resort,Estepona,8.4,Very Good,"4,767",8.7,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   230,088"
Aparthotel Cordial Mijas Golf,Mijas,7.7,Good,"2,188",8,Two-bedroom Apartment Superior,"3 beds (1 sofa bed, 2 queens)","   301,816"
Hotel Pax Guadalajara,Guadalajara,8.7,Excellent,"1,716",9.2,Two-Bedroom Suite with Sofa Bed,"2 beds (1 king, 1 sofa bed)","   407,290"
Hotel Badajoz Center,Badajoz,8.6,Excellent,"4,834",9.1,Double or Twin Room,2 twin beds,"   215,707"
Apartamentos Casa La Rambla,Muros de Nalón,9.4,Wonderful,52,9.4,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   353,591"
Esencia de La Palma by Princess - Adults Only,Fuencaliente de la Palma,8.2,Very Good,221,8.4,Double Room,2 twin beds,"   337,408"
Villa Healthy,Mogán,9,Wonderful,1 review,10,Two-Bedroom Villa,2 full beds,"   285,103"
Camping Resort-Bungalow Park Mas Patoxas,Pals,7.9,Good,"1,212",,Superior Two-Bedroom Bungalow,"4 beds (1 full, 1 bunk bed, 1 sofa bed, 1 queen)","   385,011"
ON City Resort,Matalascañas,8.6,Excellent,877,9,Apartment - Ground Floor,"2 beds (1 full, 1 sofa bed)","   258,387"
Hotel Adaria Vera,Vera,8.1,Very Good,"1,802",8.4,Double or Twin Room,2 twin beds,"   222,791"
Occidental Isla Cristina,Isla Cristina,8.3,Very Good,"2,205",8.9,Deluxe One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)","   313,469"
ON The Residence,Matalascañas,8.9,Excellent,757,9.2,Double Room,1 queen bed,"   198,772"
Pierre & Vacances Resort Fuerteventura OrigoMare,Lajares,7.7,Good,"1,580",8,Standard Studio (2 Adults + 1 Child),"2 beds (1 full, 1 sofa bed)","   156,788"
Elba Lucía Sport & Suite Hotel,Costa de Antigua,7.3,Good,"2,269",,One-Bedroom Apartment (2 Adults),2 twin beds,"   154,631"
Ilunion Islantilla,Islantilla,8.4,Very Good,"5,442",8.7,Twin Room,2 twin beds,"   218,765"
Hotel New Bilbao Airport,Derio,8.5,Very Good,"2,030",9.2,Double or Twin Room,   1 double or 2 twins,"   233,119"
Blue Ocean Camp - Tasartico,Tasartico,7.7,Good,"1,083",,Mini Bungalow (No Kitchen and Bathroom),1 full bed,"   108,031"
Palacio de Luja,El Puerto de Santa María,8.2,Very Good,"1,445",8.3,Standard Apartment (2 Adults),2 twin beds,"   272,896"
Ronda Navarra by Valdesierra,Béjar,8.1,Very Good,"1,953",8.2,Studio (2 Adults),1 full bed,"   114,761"
Hotel Doña Brígida – Salamanca Forum,Villamayor,8.1,Very Good,"2,417",8.5,Double Room,Multiple bed types,"   190,301"
Hotel Segontia,Épila,7.4,Good,418,,Double Room,1 full bed,"   131,586"
Shambhala Fuerteventura,Parque Holandes,9.3,Wonderful,875,9.5,Apartment with Pool View,"2 beds (1 full, 1 sofa bed)","   293,226"
Exe Gran Hotel Almenar,Las Rozas de Madrid,8.5,Very Good,"3,854",8.9,Double or Twin Room,   1 double or 2 twins,"   228,709"
Santemar,Santander,8.8,Excellent,"8,876",9.3,Junior Suite,1 queen bed,"   736,836"
Hotel Lanjaron,Lanjarón,7.6,Good,"1,317",,Deluxe Double Room with Balcony,   1 double or 2 twins,"   102,113"
Complejo Residencial Los Enebros,Arroyo Frio,8.9,Excellent,598,8.9,Two-Bedroom Bungalow (4 Adults),2 full beds,"   402,069"
Ilunion Golf Badajoz,Badajoz,8.1,Very Good,"3,589",8.5,Double or Twin Room,   1 double or 2 twins,"   192,110"
Destinos de Sol La Minería Roquetas de Mar,Roquetas de Mar,7.6,Good,"1,455",,Superior Apartment with Terrace and Sea View,"3 beds (2 twins, 1 sofa bed)","   100,147"
Casa Rural Finca Paraíso,Valle de Guerra,9,Wonderful,76,9.2,Deluxe Double or Twin Room with Pool Access,1 full bed,"   234,047"
Complejo Rural La Glorieta,Catí,8.4,Very Good,303,8.2,Apartment,"3 beds (2 twins, 1 full)","   152,589"
Hotel Pozo del Duque,Zahara de los Atunes,8,Very Good,"1,916",8.1,Double or Twin Room with Side Sea View,2 twin beds,"   257,602"
Ona Valle Romano Golf & Resort,Estepona,8.4,Very Good,"4,767",8.7,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   230,088"
Ona Ogisaka Garden,Denia,8.4,Very Good,"4,016",8.5,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   244,142"
La Familia Gallo Rojo,El Campello,8,Very Good,"2,087",8.2,Twin Room,2 twin beds,"   160,131"
Ocean Lounge,Altea,8.2,Very Good,510,8.8,Suite with Terrace,1 queen bed,"   402,069"
Hotel Thalasso Cantabrico Las Sirenas,"Covas, Viveiro",8,Very Good,"1,977",8.6,Double or Twin Room,   1 double or 2 twins,"   153,964"
Hotel Saurat,Espot,8.6,Excellent,"1,484",8.8,Twin Room,2 twin beds,"   184,731"
ALEGRIA Palacio Mojacar Adults only,Mojácar,8.7,Excellent,"2,492",9,Double Room with Sea View,"3 beds (2 twins, 1 full)","   252,497"
Apartamentos Playa Barbate,Barbate,8.1,Very Good,"1,177",8,Two-Bedroom Apartment - Ground Floor,4 twin beds,"   292,994"
Elba Vecindario Aeropuerto Business & Convention Hotel,Vecindario,8.3,Very Good,"2,500",8.7,Double or Twin Room (2 Adults),Multiple bed types,"   208,867"
Exe Victoria Palace,San Lorenzo de El Escorial,8.1,Very Good,"2,369",8.6,Standard Double or Twin Room,   1 double or 2 twins,"   245,651"
Hotel Cooee Taimar,Costa Calma,8.6,Excellent,"1,436",9.2,Junior Suite,"3 beds (2 twins, 1 sofa bed)","   307,034"
Hipotels Eurotel Punta Rotja Spa-Golf,Costa dels Pins,8.6,Excellent,"1,832",8.9,Superior Double Room,   1 double or 2 twins,"   349,079"
La Pergola Mallorca,Port d'Andratx,8.2,Very Good,430,8.6,Standard Double Room (2 Adults),2 twin beds,"   322,427"
"AC Hotel Guadalajara by Marriott, Spain",Guadalajara,8.3,Very Good,"1,936",8.7,Twin Room,2 twin beds,"   224,585"
Vincci Resort Costa Golf,"Novo Sancti Petri, Chiclana de la Frontera",8.8,Excellent,"3,263",9.1,Junior Suite (2 Adults),"3 beds (2 twins, 1 sofa bed)","   235,497"
Hotel Kaktus Albir,Albir,8,Very Good,"2,385",8.3,Junior Suite with Sea View,2 twin beds,"   680,644"
OCEAN HOMES Apartamentos exclusivos en Isla Canela,Isla Canela,9.5,Exceptional,27,9.4,Apartment - Ground Floor,"3 beds (2 twins, 1 full)","   363,115"
Aparthotel Ona Cala Pi Club,Cala Pi,8.8,Excellent,"1,604",8.9,One-Bedroom Apartment (2 Adults),"2 beds (1 full, 1 sofa bed)","   304,277"
White Sands Beach Club,Arenal d'en Castell,8.9,Excellent,"1,015",9.1,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   394,091"
Villa Healthy,Mogán,9,Wonderful,1 review,10,Two-Bedroom Villa,2 full beds,"   285,103"
Senator Mar Menor Golf & Spa Resort,Los Alcázares,7.4,Good,"1,932",,One-Bedroom Apartment (2 Adults),"2 beds (1 sofa bed, 1 queen)","   128,221"
Hotel ParqueMar Premium Beach,Guardamar del Segura,7.3,Good,444,,Deluxe Double Room with Balcony,   1 double or 2 twins,"   124,392"
Valentin Sancti Petri,"Novo Sancti Petri, Chiclana de la Frontera",8.9,Excellent,"2,328",9.1,Double or Twin Room,   1 double or 2 twins,"   298,540"
Eurostars Palacio de Santa Marta,Trujillo,8.8,Excellent,"2,487",9.1,Standard Twin Room,2 twin beds,"   326,877"
Ilunion Calas de Conil,Conil de la Frontera,8.5,Very Good,"5,473",8.9,Double or Twin Room,Multiple bed types,"   230,601"
Santa Barbara Golf and Ocean Club,San Miguel de Abona,8.5,Very Good,"4,803",9.1,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)","   245,419"
Soho Boutique Puerto,El Puerto de Santa María,8.3,Very Good,"4,052",8.6,Standard Double Room,2 twin beds,"   357,510"
Gara Suites Golf & Spa,Playa de las Americas,7.9,Good,"5,361",8.3,Standard Suite,"3 beds (2 twins, 1 sofa bed)","   227,839"
Hotel Antik San Sebastián,"Antiguo, San Sebastián",8.2,Very Good,"2,423",8.8,Double or Twin Room with Free Parking,Multiple bed types,"   333,473"
Barceló Lanzarote Active Resort,Costa Teguise,8.2,Very Good,"1,773",8.7,Double or Twin Room,Multiple bed types,"   346,302"
Grupotel Flamingo Beach,Playa Blanca,8.3,Very Good,"1,948",8.3,Standard Apartment (2 Adults),2 twin beds,"   229,023"
"Radisson Blu Resort & Spa, Gran Canaria Mogan",Puerto de Mogán,8.8,Excellent,"3,463",9.1,Superior Room Pool View,Multiple bed types,"   436,532"
Hotel Apartamentos Londres La Manga,La Manga del Mar Menor,7.4,Good,"1,865",,Standard Studio,   1 double or 2 twins,"   169,584"
Hotel Montjoi by Brava Hoteles,Sant Feliu de Guíxols,8.1,Very Good,"2,126",8.5,Budget Double or Twin Room,   1 double or 2 twins,"   196,799"
Vista Alegre,Benicàssim,8.1,Very Good,875,8,Standard Double or Twin Room,   1 double or 2 twins,"   149,224"
Plaza de la Luz Cádiz,"Old Town, Cádiz",8.9,Excellent,"6,935",9.2,Studio,1 full bed,"   267,535"
ICON Valparaiso - Adults Only,Cala Murada,8.6,Excellent,999,8.8,Double Room,   1 double or 2 twins,"   426,582"
Aparthotel Areu,Areu,8.9,Excellent,232,9.2,Two-Bedroom Apartment (4 Adults),"3 beds (2 twins, 1 full)","   279,621"
NH Canciller Ayala Vitoria,Vitoria-Gasteiz,8.4,Very Good,"5,281",8.8,Standard Double or Twin Room with View,   1 double or 2 twins,"   261,377"
Hotel Meson de Erosa,Herosa,7.7,Good,456,8.1,Double Room,2 twin beds,"   121,839"
Kn Aparthotel Columbus,Playa de las Americas,7.6,Good,"2,224",,Double or Twin Room (2 Adults),2 twin beds,"   408,602"
